
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
Student,gpa,java.lang.double,false,gpaIndex,B+Tree
Student,name,java.lang.String,false,null,null
Student,id,java.lang.Integer,true,null,null
Parent,gpa,java.lang.double,false,null,null
Parent,name,java.lang.String,true,null,null
Parent,id,java.lang.Integer,false,null,null
